		In Use		
C:\Matlab\bin\win32\lapack.dll	794c0000	447000		9000
C:\Matlab\bin\win32\libmwamd.dll	79910000	7000		9000
C:\Matlab\bin\win32\libmwumfpackv4.3.dll	79920000	55000		0000b000
C:\Matlab\bin\win32\mwoles05.dll	79980000	10000		0
C:\Matlab\bin\win32\udd_mi.dll	79990000	54000		0000c000
C:\Matlab\bin\win32\jmi.dll	799f0000	0002b000		5000
C:\Matlab\bin\win32\comcli.dll	79a20000	39000		7000
C:\Matlab\bin\win32\mlautoregister.dll	79a60000	9000		00037000*
C:\Matlab\bin\win32\bridge.dll	79aa0000	0009d000		3000
C:\Matlab\bin\win32\jmi_mi.dll	79b40000	11000		00c3f000*
C:\Matlab\bin\win32\nativejava.dll	7a790000	0000d000		3000
C:\Matlab\bin\win32\nativelex.dll	7a7a0000	0000c000		4000
C:\Matlab\bin\win32\nativehg.dll	7a7b0000	19000		011b7000*
C:\Matlab\bin\win32\mkl_p4p.dll	7b980000	339000		000c7000*
C:\Matlab\bin\win32\libguide40.dll	7bd80000	33000		0036d000*
C:\Matlab\bin\win32\ATL71.DLL	7c120000	19000		7000
C:\Matlab\bin\win32\MFC71.DLL	7c140000	103000		000bd000*
C:\Matlab\bin\win32\MFC71ENU.DLL	7c300000	0		00032000*
C:\Matlab\bin\win32\MSVCR71.dll	7c340000	56000		0000a000
C:\Matlab\bin\win32\MSVCP71.dll	7c3a0000	0007b000		003e5000*
C:\WINDOWS\system32\kernel32.dll	7c800000	000f5000		0000b000
C:\WINDOWS\system32\ntdll.dll	7c900000	000b0000		00010000*
C:\WINDOWS\system32\SHELL32.dll	7c9c0000	817000		01239000*
C:\WINDOWS\system32\USER32.dll	7e410000	90000		01250000*
<anonymous>	7f6f0000	100000		007b2000*
<anonymous>	7ffa2000	1000		0
<anonymous>	7ffa3000	1000		0
<anonymous>	7ffa4000	1000		0
<anonymous>	7ffa5000	1000		0
<anonymous>	7ffa6000	1000		0
<anonymous>	7ffa7000	1000		0
<anonymous>	7ffa8000	1000		0
<anonymous>	7ffa9000	1000		0
<anonymous>	7ffaa000	1000		0
<anonymous>	7ffab000	1000		0
<anonymous>	7ffac000	1000		0
<anonymous>	7ffad000	1000		0
<anonymous>	7ffae000	1000		0
<anonymous>	7ffaf000	1000		0
<anonymous>	7ffb0000	24000		0
<anonymous>	7ffd4000	1000		0
<anonymous>	7ffd5000	1000		0
<anonymous>	7ffd6000	1000		0
<anonymous>	7ffd7000	1000		0
<anonymous>	7ffd8000	1000		0
<anonymous>	7ffd9000	1000		0
<anonymous>	7ffda000	1000		0
<anonymous>	7ffdb000	1000		0
<anonymous>	7ffdc000	1000		0
<anonymous>	7ffdd000	1000		0
<anonymous>	7ffde000	1000		0
<anonymous>	7ffdf000	1000		0
<anonymous>	7ffe0000	0001f000		1000
		==========		==========
Totals		4bfe4000		3401c000
